QueryId,DocumentId
0,86
0,135
0,75
0,122
0,82
0,38
0,66
0,80
0,107
0,26
1,226
1,164
1,202
1,181
1,186
1,174
1,208
1,172
1,150
1,166
2,305
2,233
2,313
2,307
2,277
2,238
2,246
2,257
2,263
2,267
3,390
3,376
3,423
3,353
3,403
3,329
3,385
3,378
3,413
3,422
4,541
4,470
4,552
4,547
4,492
4,497
4,583
4,473
4,572
4,585
5,607
5,707
5,637
5,753
5,746
5,673
5,705
5,754
5,685
5,626
6,836
6,759
6,771
6,765
6,774
6,827
6,764
6,793
6,845
6,856
7,931
7,1006
7,918
7,951
7,885
7,944
7,1014
7,983
7,990
7,927
8,1051
8,1033
8,1015
8,1048
8,1034
8,1017
8,1043
8,1019
8,1023
8,1071
9,1149
9,1130
9,1183
9,1152
9,1078
9,1115
9,1177
9,1121
9,1081
9,1090
10,1218
10,1319
10,1239
10,1223
10,1251
10,1290
10,1265
10,1263
10,1264
10,1292
11,1373
11,1379
11,1348
11,1395
11,1383
11,1382
11,1405
11,1384
11,1323
11,1362
12,1505
12,1412
12,1509
12,1464
12,1429
12,1442
12,1543
12,1524
12,1507
12,1406
13,1723
13,1703
13,1664
13,1628
13,1705
13,1724
13,1653
13,1661
13,1675
13,1691
14,1815
14,1867
14,1861
14,1808
14,1834
14,1753
14,1860
14,1797
14,1837
14,1795
15,1909
15,1928
15,1873
15,1903
15,1988
15,1978
15,1954
15,1899
15,1959
15,1923
16,2040
16,2158
16,2131
16,2058
16,2071
16,2107
16,2023
16,2043
16,2064
16,2044
17,2274
17,2186
17,2288
17,2272
17,2201
17,2277
17,2185
17,2278
17,2219
17,2275
18,2298
18,2319
18,2303
18,2308
18,2316
18,2325
18,2322
18,2324
18,2321
18,2296
19,2331
19,2431
19,2382
19,2381
19,2406
19,2359
19,2380
19,2418
19,2354
19,2396
20,2462
20,2467
20,2454
20,2484
20,2453
20,2461
20,2458
20,2473
20,2452
20,2466
21,2523
21,2656
21,2539
21,2627
21,2567
21,2590
21,2537
21,2530
21,2515
21,2617
22,2712
22,2696
22,2702
22,2716
22,2688
22,2694
22,2698
22,2690
22,2724
22,2707
23,2804
23,2792
23,2746
23,2770
23,2773
23,2788
23,2769
23,2790
23,2797
23,2789
24,2960
24,2823
24,2895
24,2841
24,2946
24,2852
24,2954
24,2860
24,2966
24,2934
25,2992
25,3002
25,2989
25,2975
25,3000
25,3011
25,3017
25,3013
25,3010
25,2971
26,3093
26,3163
26,3149
26,3111
26,3117
26,3119
26,3051
26,3071
26,3123
26,3094
27,3227
27,3169
27,3231
27,3239
27,3194
27,3259
27,3215
27,3228
27,3211
27,3246
28,3305
28,3285
28,3302
28,3269
28,3283
28,3288
28,3275
28,3304
28,3293
28,3298
29,3347
29,3399
29,3352
29,3379
29,3419
29,3356
29,3364
29,3312
29,3407
29,3376
30,3461
30,3438
30,3463
30,3517
30,3502
30,3475
30,3437
30,3449
30,3460
30,3440
31,3745
31,3577
31,3720
31,3620
31,3580
31,3576
31,3651
31,3591
31,3688
31,3739
32,3916
32,3882
32,3825
32,3917
32,3791
32,3852
32,3839
32,3866
32,3795
32,3788
33,4007
33,4028
33,3985
33,4024
33,3957
33,3992
33,3966
33,3967
33,3959
33,3988
34,4074
34,4052
34,4105
34,4081
34,4067
34,4088
34,4121
34,4098
34,4135
34,4126
35,4227
35,4195
35,4175
35,4216
35,4231
35,4147
35,4235
35,4156
